latitude,longitude,speed_limit,average_speed,speed_ratio
43.66002,-79.40146,40,31.82,0.7955
43.65995,-79.40152,40,31.82,0.7955
43.65989,-79.40156,40,31.82,0.7955
43.65981,-79.40159,40,31.82,0.7955
43.65972,-79.4016,40,31.82,0.7955
43.65963,-79.4016,40,31.82,0.7955
43.65954,-79.40158,40,31.82,0.7955
43.65951,-79.40157,40,31.82,0.7955
43.65959,-79.36523,40,18.05,0.45125
43.65943,-79.36598,40,18.05,0.45125
43.66101,-79.41219,30,25.9,0.8633333333333333
43.66021,-79.41187,30,25.9,0.8633333333333333
43.6593,-79.41152,30,25.9,0.8633333333333333
43.6593,-79.4025,50,5.75,0.115
43.65951,-79.40157,50,5.75,0.115
43.65921,-79.3935,40,35.59,0.88975
43.65941,-79.39259,40,35.59,0.88975
43.65907,-79.38598,50,11.31,0.2262
43.65924,-79.38519,50,11.31,0.2262
43.6591,-79.40082,40,20.83,0.5207499999999999
43.65909,-79.40076,40,20.83,0.5207499999999999
43.65909,-79.4007,40,20.83,0.5207499999999999
43.65909,-79.40064,40,20.83,0.5207499999999999
43.65909,-79.4006,40,20.83,0.5207499999999999
43.65909,-79.40056,40,20.83,0.5207499999999999
43.6591,-79.40052,40,20.83,0.5207499999999999
43.65913,-79.36734,40,34.44,0.861
43.65901,-79.36795,40,34.44,0.861
43.65896,-79.39468,40,35.85,0.89625
43.65908,-79.3941,40,35.85,0.89625
43.65901,-79.36795,40,28.99,0.72475
43.65888,-79.36853,40,28.99,0.72475
43.66049,-79.41463,50,19.69,0.3938
43.65967,-79.41431,50,19.69,0.3938
43.65882,-79.41397,50,19.69,0.3938
43.6591,-79.3821,40,33.21,0.83025
43.65865,-79.38191,40,33.21,0.83025
43.65888,-79.36853,40,30.81,0.77025
43.65866,-79.36948,40,30.81,0.77025
43.65854,-79.4065,50,17.45,0.349
43.65868,-79.40585,50,17.45,0.349
43.66018,-79.40716,50,13.6,0.272
43.65932,-79.40681,50,13.6,0.272
43.65854,-79.4065,50,13.6,0.272
43.65864,-79.39011,50,26.55,0.531
43.65846,-79.39003,50,26.55,0.531
43.65841,-79.40714,50,25.2,0.504
43.65854,-79.4065,50,25.2,0.504
43.65855,-79.37636,50,23.15,0.4629999999999999
43.65834,-79.37723,50,23.15,0.4629999999999999
43.65834,-79.38567,40,16.85,0.42125
43.6585,-79.38488,40,16.85,0.42125
43.65907,-79.38598,50,10.82,0.2164
43.65834,-79.38567,50,10.82,0.2164
43.65834,-79.37723,50,26.69,0.5338
43.65822,-79.37785,50,26.69,0.5338
43.65865,-79.38191,40,35.76,0.8939999999999999
43.65788,-79.38158,40,35.76,0.8939999999999999
43.65818,-79.38638,50,22.06,0.4412
43.65794,-79.38625,50,22.06,0.4412
43.65778,-79.38619,50,22.06,0.4412
43.65802,-79.41898,50,31.43,0.6286
43.65799,-79.41899,50,31.43,0.6286
43.65781,-79.4191,50,31.43,0.6286
43.65745,-79.41932,50,31.43,0.6286
43.65735,-79.40315,40,19.77,0.4942499999999999
43.65743,-79.40279,40,19.77,0.4942499999999999
43.65724,-79.40377,40,15.48,0.387
43.65735,-79.40315,40,15.48,0.387
43.65718,-79.40405,40,17.89,0.44725
43.65724,-79.40377,40,17.89,0.44725
43.65715,-79.38508,50,16.83,0.3365999999999999
43.6573,-79.38437,50,16.83,0.3365999999999999
43.6571,-79.40449,40,20.09,0.50225
43.65718,-79.40405,40,20.09,0.50225
43.65741,-79.38137,40,31.5,0.7875
43.65702,-79.38121,40,31.5,0.7875
43.65698,-79.40517,40,21.92,0.548
43.6571,-79.40449,40,21.92,0.548
43.657,-79.38587,50,27.21,0.5442
43.65715,-79.38508,50,27.21,0.5442
43.65745,-79.41932,50,20.5,0.41
43.65738,-79.41938,50,20.5,0.41
43.65713,-79.41954,50,20.5,0.41
43.65694,-79.41964,50,20.5,0.41
43.65685,-79.40582,40,17.63,0.44075
43.65698,-79.40517,40,17.63,0.44075
43.65683,-79.37565,40,17.1,0.4275
43.65664,-79.37654,40,17.1,0.4275
43.65664,-79.42093,50,17.4,0.348
43.65668,-79.42073,50,17.4,0.348
43.65677,-79.42023,50,17.4,0.348
43.65683,-79.41993,50,17.4,0.348
43.65685,-79.41977,50,17.4,0.348
43.65687,-79.41973,50,17.4,0.348
43.65694,-79.41964,50,17.4,0.348
43.65664,-79.37654,40,15.7,0.3924999999999999
43.6565,-79.37714,40,15.7,0.3924999999999999
43.65648,-79.39744,50,27.74,0.5548
43.65655,-79.39712,50,27.74,0.5548
43.65661,-79.39683,50,27.74,0.5548
43.65665,-79.39663,50,27.74,0.5548
43.65673,-79.39629,50,27.74,0.5548
43.65645,-79.38029,40,14.22,0.3555
43.65645,-79.38036,40,14.22,0.3555
43.65644,-79.38041,40,14.22,0.3555
43.65644,-79.38046,40,14.22,0.3555
43.65634,-79.38092,40,14.22,0.3555
43.65702,-79.38121,40,14.76,0.369
43.65634,-79.38092,40,14.76,0.369
43.6563,-79.37959,40,15.12,0.378
43.65631,-79.37964,40,15.12,0.378
43.65639,-79.38,40,15.12,0.378
43.65641,-79.38009,40,15.12,0.378
43.65644,-79.38017,40,15.12,0.378
43.65645,-79.38023,40,15.12,0.378
43.65645,-79.38029,40,15.12,0.378
43.65629,-79.39834,50,19.37,0.3874
43.65633,-79.39812,50,19.37,0.3874
43.65646,-79.39756,50,19.37,0.3874
43.65648,-79.39744,50,19.37,0.3874
43.65626,-79.38474,50,15.45,0.309
43.65644,-79.384,50,15.45,0.309
43.65624,-79.40894,40,7.83,0.19575
43.65633,-79.40844,40,7.83,0.19575
43.65626,-79.37829,40,19.49,0.4872499999999999
43.65619,-79.37861,40,19.49,0.4872499999999999
43.65618,-79.37869,40,19.49,0.4872499999999999
43.65617,-79.37882,40,19.49,0.4872499999999999
43.65616,-79.37887,40,19.49,0.4872499999999999
43.65616,-79.39042,50,17.02,0.3404
43.65617,-79.39027,50,17.02,0.3404
43.6562,-79.39004,50,17.02,0.3404
43.65623,-79.38987,50,17.02,0.3404
43.65613,-79.38548,50,29.08,0.5816
43.65626,-79.38474,50,29.08,0.5816
43.65601,-79.39096,50,15.94,0.3188
43.65608,-79.39068,50,15.94,0.3188
43.65616,-79.39042,50,15.94,0.3188
43.656,-79.39346,50,15.6,0.312
43.65616,-79.39275,50,15.6,0.312
43.6562,-79.39252,50,15.6,0.312
43.65627,-79.39226,50,15.6,0.312
43.6593,-79.41152,30,16.43,0.5476666666666666
43.65599,-79.41015,30,16.43,0.5476666666666666
43.65606,-79.39941,40,23.91,0.59775
43.65583,-79.39933,40,23.91,0.59775
43.6555,-79.38845,50,15.05,0.301
43.65571,-79.3874,50,15.05,0.301
43.65548,-79.41262,40,28.14,0.7035
43.65572,-79.41138,40,28.14,0.7035
43.65543,-79.38519,40,14.5,0.3625
43.65574,-79.38372,40,14.5,0.3625
43.65525,-79.38602,40,28.62,0.7155
43.65543,-79.38519,40,28.62,0.7155
43.65521,-79.41387,40,31.33,0.78325
43.65548,-79.41262,40,31.33,0.78325
43.65523,-79.41788,40,29.75,0.74375
43.65523,-79.41782,40,29.75,0.74375
43.65522,-79.41776,40,29.75,0.74375
43.6552,-79.41746,40,29.75,0.74375
43.65517,-79.41719,40,29.75,0.74375
43.65517,-79.41719,40,27.53,0.68825
43.65516,-79.41706,40,27.53,0.68825
43.65512,-79.41681,40,27.53,0.68825
43.65509,-79.41665,40,27.53,0.68825
43.65583,-79.39933,40,31.55,0.7887500000000001
43.65513,-79.39906,40,31.55,0.7887500000000001
43.65571,-79.3874,50,11.4,0.228
43.65502,-79.38711,50,11.4,0.228
43.65583,-79.40398,50,19.33,0.3865999999999999
43.65534,-79.40381,50,19.33,0.3865999999999999
43.65494,-79.40366,50,19.33,0.3865999999999999
43.65514,-79.37495,40,16.75,0.41875
43.65499,-79.37562,40,16.75,0.41875
43.65494,-79.37585,40,16.75,0.41875
43.65483,-79.38816,40,28.1,0.7025
43.65483,-79.38804,40,28.1,0.7025
43.65484,-79.38796,40,28.1,0.7025
43.65485,-79.38788,40,28.1,0.7025
43.65487,-79.38779,40,28.1,0.7025
43.65489,-79.38771,40,28.1,0.7025
43.6549,-79.38763,40,28.1,0.7025
43.65492,-79.38755,40,28.1,0.7025
43.65494,-79.38747,40,28.1,0.7025
43.65502,-79.38711,40,28.1,0.7025
43.65502,-79.36715,40,35.17,0.8792500000000001
43.65486,-79.36793,40,35.17,0.8792500000000001
43.65543,-79.38875,40,30.18,0.7545
43.65481,-79.38849,40,30.18,0.7545
43.65543,-79.40598,50,12.49,0.2498
43.65455,-79.40563,50,12.49,0.2498
43.65543,-79.38519,35,28.54,0.8154285714285714
43.65482,-79.38496,35,28.54,0.8154285714285714
43.65461,-79.38486,35,28.54,0.8154285714285714
43.65451,-79.38481,35,28.54,0.8154285714285714
43.65463,-79.369,40,20.46,0.5115000000000001
43.65453,-79.36941,40,20.46,0.5115000000000001
43.65502,-79.36715,50,30.33,0.6065999999999999
43.65448,-79.36694,50,30.33,0.6065999999999999
43.65449,-79.39032,40,13.54,0.3384999999999999
43.65449,-79.39025,40,13.54,0.3384999999999999
43.65449,-79.39018,40,13.54,0.3384999999999999
43.6545,-79.39011,40,13.54,0.3384999999999999
43.65451,-79.39003,40,13.54,0.3384999999999999
43.65468,-79.38922,40,13.54,0.3384999999999999
43.65456,-79.37759,40,27.28,0.682
43.65452,-79.3778,40,27.28,0.682
43.65444,-79.37818,40,27.28,0.682
43.65488,-79.39895,40,25.78,0.6445000000000001
43.65437,-79.39873,40,25.78,0.6445000000000001
43.65444,-79.37818,40,13.62,0.3404999999999999
43.65432,-79.37877,40,13.62,0.3404999999999999
43.65598,-79.37946,50,14.24,0.2848
43.65576,-79.37937,50,14.24,0.2848
43.65488,-79.37899,50,14.24,0.2848
43.65432,-79.37877,50,14.24,0.2848
43.6543,-79.39144,40,20.87,0.52175
43.6544,-79.39096,40,20.87,0.52175
43.65447,-79.39061,40,20.87,0.52175
43.65448,-79.39054,40,20.87,0.52175
43.65449,-79.39047,40,20.87,0.52175
43.65449,-79.39041,40,20.87,0.52175
43.65449,-79.39032,40,20.87,0.52175
43.65426,-79.36529,50,33.62,0.6724
43.65393,-79.3667,50,33.62,0.6724
43.65448,-79.36694,50,17.1,0.342
43.65393,-79.3667,50,17.1,0.342
43.65437,-79.39873,40,28.79,0.71975
43.65387,-79.39854,40,28.79,0.71975
43.65525,-79.38602,50,10.08,0.2016
43.65463,-79.38575,50,10.08,0.2016
43.65429,-79.38562,50,10.08,0.2016
43.65407,-79.3855,50,10.08,0.2016
43.65394,-79.38545,50,10.08,0.2016
43.65384,-79.3854,50,10.08,0.2016
43.65431,-79.39654,50,7.05,0.141
43.65382,-79.39634,50,7.05,0.141
43.65366,-79.41257,50,19.4,0.3879999999999999
43.65371,-79.41236,50,19.4,0.3879999999999999
43.65373,-79.41223,50,19.4,0.3879999999999999
43.6538,-79.41192,50,19.4,0.3879999999999999
43.65368,-79.39453,40,25.9,0.6475
43.65382,-79.39385,40,25.9,0.6475
43.65372,-79.37323,40,24.76,0.619
43.65349,-79.37429,40,24.76,0.619
43.65397,-79.37206,50,27.3,0.546
43.6535,-79.37185,50,27.3,0.546
43.65502,-79.38711,50,16.25,0.325
43.65422,-79.38678,50,16.25,0.325
43.65336,-79.38642,50,16.25,0.325
43.65336,-79.38642,50,6.33,0.1266
43.65315,-79.38743,50,6.33,0.1266
43.65385,-79.41514,50,21.05,0.421
43.65347,-79.41499,50,21.05,0.421
43.6532,-79.41487,50,21.05,0.421
43.6533,-79.37517,40,18.23,0.45575
43.65317,-79.37574,40,18.23,0.45575
43.65308,-79.40288,50,23.38,0.4675999999999999
43.65312,-79.40267,50,23.38,0.4675999999999999
43.65359,-79.40308,50,15.56,0.3112
43.65308,-79.40288,50,15.56,0.3112
43.6535,-79.37185,50,5.48,0.1096
43.65317,-79.37172,50,5.48,0.1096
43.65282,-79.37157,50,5.48,0.1096
43.65302,-79.37294,40,13.63,0.34075
43.65276,-79.37406,40,13.63,0.34075
43.65302,-79.37294,40,23.84,0.596
43.65271,-79.37282,40,23.84,0.596
43.65254,-79.39985,40,27.1,0.6775
43.65269,-79.39917,40,27.1,0.6775
43.65276,-79.37406,40,10.53,0.26325
43.65246,-79.37545,40,10.53,0.26325
43.65281,-79.37559,40,9.42,0.2355
43.65246,-79.37545,40,9.42,0.2355
43.65271,-79.37282,40,28.86,0.7215
43.65236,-79.37266,40,28.86,0.7215
43.65246,-79.37545,40,25.75,0.64375
43.65241,-79.3757,40,25.75,0.64375
43.65226,-79.37637,40,25.75,0.64375
43.65291,-79.39817,40,31.09,0.77725
43.65224,-79.39794,40,31.09,0.77725
43.65295,-79.36476,50,12.34,0.2468
43.65212,-79.3644,50,12.34,0.2468
43.65267,-79.37809,50,8.32,0.1664
43.65194,-79.37777,50,8.32,0.1664
43.65194,-79.40281,40,30.17,0.7542500000000001
43.65204,-79.40227,40,30.17,0.7542500000000001
43.65188,-79.38176,40,20.39,0.50975
43.65208,-79.38074,40,20.39,0.50975
43.65222,-79.37331,50,12.98,0.2596
43.65218,-79.37351,50,12.98,0.2596
43.6519,-79.37481,50,12.98,0.2596
43.65187,-79.37494,50,12.98,0.2596
43.65187,-79.37497,50,12.98,0.2596
43.65182,-79.37518,50,12.98,0.2596
43.65261,-79.36642,50,14.73,0.2946
43.65175,-79.36609,50,14.73,0.2946
43.65194,-79.37777,40,19.63,0.4907499999999999
43.65166,-79.37894,40,19.63,0.4907499999999999
43.65242,-79.37925,40,12.84,0.321
43.65166,-79.37894,40,12.84,0.321
43.65178,-79.37243,40,21.53,0.53825
43.65157,-79.37235,40,21.53,0.53825
43.65243,-79.39064,50,33.98,0.6796
43.65205,-79.39049,50,33.98,0.6796
43.65149,-79.39027,50,33.98,0.6796
43.65137,-79.39082,50,10.29,0.2057999999999999
43.65149,-79.39027,50,10.29,0.2057999999999999
43.65205,-79.40726,50,22.4,0.4479999999999999
43.65136,-79.40697,50,22.4,0.4479999999999999
43.65155,-79.367,50,22.58,0.4515999999999999
43.65109,-79.3668,50,22.58,0.4515999999999999
43.65105,-79.41219,40,19.25,0.48125
43.65117,-79.41158,40,19.25,0.48125
43.65166,-79.37894,40,21.09,0.52725
43.65105,-79.37869,40,21.09,0.52725
43.65097,-79.39265,30,26.77,0.8923333333333333
43.65087,-79.39261,30,26.77,0.8923333333333333
43.65087,-79.38643,40,20.43,0.51075
43.6512,-79.38495,40,20.43,0.51075
43.65117,-79.41158,50,20.39,0.4078
43.65085,-79.41145,50,20.39,0.4078
43.65132,-79.37751,50,18.1,0.362
43.65123,-79.37748,50,18.1,0.362
43.65118,-79.37746,50,18.1,0.362
43.65067,-79.37724,50,18.1,0.362
43.65109,-79.3668,50,14.14,0.2828
43.65067,-79.36664,50,14.14,0.2828
43.65149,-79.39027,50,22.15,0.4429999999999999
43.6506,-79.38989,50,22.15,0.4429999999999999
43.65115,-79.3813,40,22.78,0.5695
43.65056,-79.38106,40,22.78,0.5695
43.6512,-79.38495,50,16.66,0.3332
43.65047,-79.38458,50,16.66,0.3332
43.65074,-79.37066,40,18.45,0.46125
43.6506,-79.37127,40,18.45,0.46125
43.65046,-79.3719,40,18.45,0.46125
43.65041,-79.38862,40,23.44,0.5860000000000001
43.65065,-79.38745,40,23.44,0.5860000000000001
43.65089,-79.38261,50,22.37,0.4474
43.65063,-79.38251,50,22.37,0.4474
43.65029,-79.38238,50,22.37,0.4474
43.65022,-79.38948,40,20.93,0.52325
43.65041,-79.38862,40,20.93,0.52325
43.65016,-79.38973,40,26.86,0.6715
43.65022,-79.38948,40,26.86,0.6715
43.65025,-79.37564,50,47.07,0.9414
43.65014,-79.37616,50,47.07,0.9414
43.65085,-79.37646,50,19.0,0.38
43.65042,-79.37627,50,19.0,0.38
43.65014,-79.37616,50,19.0,0.38
43.651,-79.36946,50,11.4,0.228
43.65051,-79.36923,50,11.4,0.228
43.65013,-79.36905,50,11.4,0.228
43.65005,-79.39026,40,24.12,0.603
43.65016,-79.38973,40,24.12,0.603
43.65065,-79.39392,35,14.5,0.4142857142857143
43.65047,-79.39385,35,14.5,0.4142857142857143
43.65004,-79.39367,35,14.5,0.4142857142857143
43.65056,-79.38106,40,17.12,0.428
43.6499,-79.38079,40,17.12,0.428
43.65013,-79.36905,50,17.0,0.34
43.64974,-79.36891,50,17.0,0.34
43.64961,-79.38211,50,21.35,0.427
43.6497,-79.38175,50,21.35,0.427
43.6499,-79.38079,50,21.35,0.427
43.65029,-79.38238,50,16.36,0.3272
43.64961,-79.38211,50,16.36,0.3272
43.65085,-79.41145,50,28.03,0.5606
43.64968,-79.41099,50,28.03,0.5606
43.64965,-79.39214,40,24.87,0.62175
43.64987,-79.39109,40,24.87,0.62175
43.64963,-79.37569,40,20.25,0.50625
43.64958,-79.37593,40,20.25,0.50625
43.64958,-79.37593,40,15.55,0.38875
43.6494,-79.37673,40,15.55,0.38875
43.6494,-79.40271,50,28.05,0.561
43.64968,-79.40131,50,28.05,0.561
43.64938,-79.39343,40,27.7,0.6925
43.64965,-79.39214,40,27.7,0.6925
43.64933,-79.39362,40,34.01,0.85025
43.64938,-79.39343,40,34.01,0.85025
43.64942,-79.37418,40,28.19,0.70475
43.64925,-79.37411,40,28.19,0.70475
43.65043,-79.37843,40,26.22,0.6555
43.64928,-79.37794,40,26.22,0.6555
43.64919,-79.37789,40,26.22,0.6555
43.64914,-79.37787,40,26.22,0.6555
43.64925,-79.37411,50,26.52,0.5304
43.64915,-79.37457,50,26.52,0.5304
43.64915,-79.37457,50,18.58,0.3716
43.64896,-79.37543,50,18.58,0.3716
43.64943,-79.38915,50,15.53,0.3106
43.6488,-79.3889,50,15.53,0.3106
43.64896,-79.37543,50,10.06,0.2012
43.64875,-79.37641,50,10.06,0.2012
43.64864,-79.38026,40,21.24,0.5309999999999999
43.64895,-79.37878,40,21.24,0.5309999999999999
43.64894,-79.40599,50,16.25,0.325
43.64857,-79.40585,50,16.25,0.325
43.64854,-79.39741,40,11.64,0.291
43.64872,-79.39648,40,11.64,0.291
43.6491,-79.39076,50,26.16,0.5232
43.64884,-79.39066,50,26.16,0.5232
43.64867,-79.3906,50,26.16,0.5232
43.64845,-79.39051,50,26.16,0.5232
43.64883,-79.36986,50,13.5,0.27
43.64848,-79.36972,50,13.5,0.27
43.64876,-79.36845,35,22.68,0.648
43.64867,-79.36842,35,22.68,0.648
43.64854,-79.36836,35,22.68,0.648
43.64838,-79.36829,35,22.68,0.648
43.64895,-79.37878,50,35.1,0.7020000000000001
43.64833,-79.37854,50,35.1,0.7020000000000001
43.64834,-79.39839,40,34.93,0.87325
43.64839,-79.39815,40,34.93,0.87325
43.64838,-79.3635,35,24.7,0.7057142857142857
43.64836,-79.36362,35,24.7,0.7057142857142857
43.64823,-79.36417,35,24.7,0.7057142857142857
43.64823,-79.36417,35,25.1,0.7171428571428572
43.64818,-79.3644,35,25.1,0.7171428571428572
43.64809,-79.36484,35,25.1,0.7171428571428572
43.64848,-79.36972,35,13.9,0.3971428571428571
43.64808,-79.36956,35,13.9,0.3971428571428571
43.64807,-79.40829,50,14.66,0.2932
43.64832,-79.40708,50,14.66,0.2932
43.64872,-79.40459,40,33.73,0.8432499999999999
43.64804,-79.40429,40,33.73,0.8432499999999999
43.64863,-79.3866,50,26.65,0.5329999999999999
43.64799,-79.38634,50,26.65,0.5329999999999999
43.64822,-79.37092,50,13.95,0.2789999999999999
43.64816,-79.37115,50,13.95,0.2789999999999999
43.64814,-79.37127,50,13.95,0.2789999999999999
43.64809,-79.37146,50,13.95,0.2789999999999999
43.64804,-79.37164,50,13.95,0.2789999999999999
43.64802,-79.3717,50,13.95,0.2789999999999999
43.64811,-79.37603,40,11.54,0.2885
43.64785,-79.37733,40,11.54,0.2885
43.64834,-79.39633,40,16.35,0.40875
43.64787,-79.39614,40,16.35,0.40875
43.64822,-79.37092,40,31.05,0.77625
43.64784,-79.37079,40,31.05,0.77625
43.64845,-79.39051,50,19.77,0.3954
43.64783,-79.39025,50,19.77,0.3954
43.64857,-79.40585,50,18.5,0.37
43.64781,-79.40555,50,18.5,0.37
43.64804,-79.40429,40,29.95,0.74875
43.64767,-79.40414,40,29.95,0.74875
43.64784,-79.37079,35,15.14,0.4325714285714286
43.64767,-79.37154,35,15.14,0.4325714285714286
43.64761,-79.40201,40,31.41,0.78525
43.64772,-79.40144,40,31.41,0.78525
43.64817,-79.38863,50,12.17,0.2434
43.64756,-79.3884,50,12.17,0.2434
43.64739,-79.38608,40,27.35,0.6837500000000001
43.64752,-79.38544,40,27.35,0.6837500000000001
43.64731,-79.39283,40,23.1,0.5775
43.64744,-79.39219,40,23.1,0.5775
43.64749,-79.3728,50,17.79,0.3558
43.64726,-79.37328,50,17.79,0.3558
43.64783,-79.39025,50,25.76,0.5152
43.6472,-79.38999,50,25.76,0.5152
43.64733,-79.40127,50,8.4,0.168
43.64698,-79.40112,50,8.4,0.168
43.64731,-79.39283,50,26.84,0.5367999999999999
43.64689,-79.39265,50,26.84,0.5367999999999999
43.64694,-79.3837,35,28.4,0.8114285714285714
43.6465,-79.38354,35,28.4,0.8114285714285714
43.64638,-79.38408,40,30.89,0.77225
43.64622,-79.38399,40,30.89,0.77225
43.64671,-79.39568,40,32.39,0.80975
43.64617,-79.39546,40,32.39,0.80975
43.64739,-79.38608,50,16.83,0.3365999999999999
43.64607,-79.38554,50,16.83,0.3365999999999999
43.64575,-79.39362,40,15.58,0.3895
43.64604,-79.39231,40,15.58,0.3895
43.64646,-79.40367,40,9.45,0.23625
43.6455,-79.40334,40,9.45,0.23625
43.64593,-79.38949,50,8.62,0.1724
43.64558,-79.38935,50,8.62,0.1724
43.6453,-79.38922,50,8.62,0.1724
43.6455,-79.40334,40,25.44,0.636
43.64519,-79.40321,40,25.44,0.636
43.64519,-79.40321,40,33.15,0.82875
43.64486,-79.40307,40,33.15,0.82875
43.64486,-79.40307,40,27.18,0.6795
43.64454,-79.40294,40,27.18,0.6795
43.64434,-79.3678,40,29.51,0.73775
43.64392,-79.36897,40,29.51,0.73775
43.6432,-79.40241,50,15.03,0.3006
43.64373,-79.39977,50,15.03,0.3006
43.64341,-79.39124,50,32.07,0.6414
43.64303,-79.39107,50,32.07,0.6414
43.64276,-79.39096,50,32.07,0.6414
43.64209,-79.38115,40,16.22,0.4054999999999999
43.64196,-79.3811,40,16.22,0.4054999999999999
43.64188,-79.38107,40,16.22,0.4054999999999999
43.66105,-79.39491,50,15.1,0.302
43.66061,-79.39472,50,15.1,0.302
43.6607,-79.37473,40,12.14,0.3035
43.66067,-79.37486,40,12.14,0.3035
43.66057,-79.38209,50,10.04,0.2007999999999999
43.66056,-79.3821,50,10.04,0.2007999999999999
43.66054,-79.38211,50,10.04,0.2007999999999999
43.66052,-79.38211,50,10.04,0.2007999999999999
43.6605,-79.3821,50,10.04,0.2007999999999999
43.66045,-79.38208,50,10.04,0.2007999999999999
43.66012,-79.38192,50,10.04,0.2007999999999999
43.66008,-79.38189,50,10.04,0.2007999999999999
43.66005,-79.38186,50,10.04,0.2007999999999999
43.6563,-79.37959,50,23.1,0.462
43.65598,-79.37946,50,23.1,0.462
43.6506,-79.38989,50,31.8,0.636
43.65067,-79.38955,50,31.8,0.636
43.65069,-79.38945,50,31.8,0.636
43.6507,-79.38941,50,31.8,0.636
43.6507,-79.38937,50,31.8,0.636
43.6507,-79.3893,50,31.8,0.636
43.6507,-79.38927,50,31.8,0.636
43.65069,-79.38923,50,31.8,0.636
43.65069,-79.3892,50,31.8,0.636
43.65069,-79.38917,50,31.8,0.636
43.65069,-79.38915,50,31.8,0.636
43.65069,-79.38912,50,31.8,0.636
43.6507,-79.38906,50,31.8,0.636
43.65076,-79.38876,50,31.8,0.636
43.64942,-79.37418,35,12.6,0.36
43.64921,-79.37513,35,12.6,0.36
43.64933,-79.3661,35,30.35,0.8671428571428572
43.64914,-79.36602,35,30.35,0.8671428571428572
43.64892,-79.36593,35,30.35,0.8671428571428572
43.64802,-79.3717,35,22.66,0.6474285714285715
43.64767,-79.37154,35,22.66,0.6474285714285715
43.6477,-79.39952,50,8.56,0.1712
43.64732,-79.39936,50,8.56,0.1712
43.64663,-79.36487,40,35.85,0.89625
43.64656,-79.36488,40,35.85,0.89625
43.6465,-79.36488,40,35.85,0.89625
43.64644,-79.36487,40,35.85,0.89625
43.64632,-79.36482,40,35.85,0.89625
43.64597,-79.37,40,23.9,0.5974999999999999
43.64592,-79.36998,40,23.9,0.5974999999999999
43.6447,-79.40096,50,16.7,0.3339999999999999
43.64429,-79.40082,50,16.7,0.3339999999999999
43.64324,-79.37795,40,30.43,0.76075
43.64318,-79.37792,40,30.43,0.76075
43.64318,-79.37792,40,30.19,0.75475
43.64313,-79.3779,40,30.19,0.75475
43.64313,-79.3779,40,28.62,0.7155
43.64292,-79.3778,40,28.62,0.7155
43.64132,-79.38136,70,41.33,0.5904285714285714
43.64154,-79.38091,70,41.33,0.5904285714285714
